STORE_ID,STORE_COUNTRY,STORE_LOCATION,PRODUCT_CATEGORY,PRODUCT_ID,MRP,CP,DISCOUNT,SP,Date
YR4591,USD,New York,Furniture,73992614,47.00,USD 33.37,USD 1.88,USD 45.12,2020-05-28
YR4591,USD,New York,Furniture,26358642,80.00,USD 53.60,USD 6.40,USD 73.60,2020-05-28
YR4591,USD,New York,Electronics,71800842,19.00,USD 11.59,USD 1.71,USD 17.29,2020-05-28
YR4591,USD,New York,Kitchen,26092224,54.00,USD 34.02,USD 1.08,USD 52.92,2020-05-28
YR4591,USD,New York,Groceries,15070190,78.00,USD 46.80,USD 7.80,USD 70.20,2020-05-28
YR4591,USD,New York,Cosmetics,59960327,59.00,USD 35.99,USD 5.90,USD 53.10,2020-05-28
YR4591,USD,New York,Furniture,15097656,72.00,USD 46.80,USD 6.48,USD 65.52,2020-05-28
YR4591,USD,New York,Fashion,38135986,55.00,USD 34.65,USD 5.50,USD 49.50,2020-05-28
YR4591,USD,New York,Education,23551635,44.00,USD 31.68,USD 3.52,USD 40.48,2020-05-28
YR4591,USD,New York,Education,24880981,73.00,USD 44.53,USD 7.30,USD 65.70,2020-05-28
YR4591,USD,New York,Education,38781433,81.00,USD 59.94,USD 3.24,USD 77.76,2020-05-28
YR4591,USD,New York,Furniture,24219055,51.00,USD 31.11,USD 2.04,USD 48.96,2020-05-28
YR4591,USD,New York,Electronics,17970581,97.00,USD 62.08,USD 9.70,USD 87.30,2020-05-28
YR4591,USD,New York,Fashion,58457946,93.00,USD 62.31,USD 2.79,USD 90.21,2020-05-28
YR4591,USD,New York,Cosmetics,86338500,14.00,USD 9.10,USD 1.12,USD 12.88,2020-05-28
YR4591,USD,New York,Groceries,86437377,31.00,USD 21.70,USD 1.55,USD 29.45,2020-05-28
YR4591,USD,New York,Cosmetics,75077514,78.00,USD 53.82,USD 2.34,USD 75.66,2020-05-28
YR4591,USD,New York,Fashion,68351135,13.00,USD 8.58,USD 0.26,USD 12.74,2020-05-28
YR4591,USD,New York,Fashion,98654174,68.00,USD 46.24,USD 6.80,USD 61.20,2020-05-28
YR4591,USD,New York,Kitchen,81117248,27.00,USD 19.71,USD 2.16,USD 24.84,2020-05-28
YR4591,USD,New York,Fashion,96215209,34.00,USD 23.12,USD 1.02,USD 32.98,2020-05-28
YR4591,USD,New York,Cosmetics,54620971,42.00,USD 26.88,USD 3.78,USD 38.22,2020-05-28
YR4591,USD,New York,Furniture,13194274,77.00,USD 51.59,USD 4.62,USD 72.38,2020-05-28
YR4591,USD,New York,Cosmetics,95789489,46.00,USD 34.50,USD 3.22,USD 42.78,2020-05-28
YR4591,USD,New York,Kitchen,75349426,74.00,USD 48.10,USD 1.48,USD 72.52,2020-05-28
YR4591,USD,New York,Groceries,45373229,35.00,USD 23.10,USD 3.15,USD 31.85,2020-05-28
YR4591,USD,New York,Education,63349609,59.00,USD 41.30,USD 1.18,USD 57.82,2020-05-28
YR4591,USD,New York,Fashion,62481689,10.00,USD 6.10,USD 0.20,USD 9.80,2020-05-28
YR6219,USD,New York,Furniture,93312072,51.00,USD 30.60,USD 5.10,USD 45.90,2020-05-28
YR6219,USD,New York,Groceries,59380798,86.00,USD 51.60,USD 6.88,USD 79.12,2020-05-28
YR6219,USD,New York,Groceries,59259948,47.00,USD 35.25,USD 3.76,USD 43.24,2020-05-28
YR6219,USD,New York,Furniture,41181945,47.00,USD 32.43,USD 4.70,USD 42.30,2020-05-28
YR6219,USD,New York,Electronics,35988159,28.00,USD 20.44,USD 1.12,USD 26.88,2020-05-28
YR6219,USD,New York,Groceries,19505920,49.00,USD 29.89,USD 2.94,USD 46.06,2020-05-28
YR6219,USD,New York,Kitchen,37421875,51.00,USD 35.19,USD 4.08,USD 46.92,2020-05-28
YR6219,USD,New York,Cosmetics,36705017,52.00,USD 33.28,USD 1.04,USD 50.96,2020-05-28
YR6219,USD,New York,Fashion,54549560,21.00,USD 15.75,USD 2.10,USD 18.90,2020-05-28
YR6219,USD,New York,Groceries,36279296,49.00,USD 29.40,USD 1.47,USD 47.53,2020-05-28
YR6219,USD,New York,Furniture,27759399,97.00,USD 72.75,USD 4.85,USD 92.15,2020-05-28
YR6219,USD,New York,Kitchen,68916931,37.00,USD 26.64,USD 2.96,USD 34.04,2020-05-28
YR6219,USD,New York,Furniture,67859497,42.00,USD 27.72,USD 0.84,USD 41.16,2020-05-28
YR6219,USD,New York,Furniture,42033386,23.00,USD 16.10,USD 0.46,USD 22.54,2020-05-28
YR6219,USD,New York,Furniture,60517883,16.00,USD 10.88,USD 0.96,USD 15.04,2020-05-28
YR6219,USD,New York,Kitchen,27201843,59.00,USD 37.17,USD 4.72,USD 54.28,2020-05-28
YR6219,USD,New York,Furniture,83479309,59.00,USD 42.48,USD 3.54,USD 55.46,2020-05-28
YR6219,USD,New York,Electronics,56667175,36.00,USD 25.92,USD 3.60,USD 32.40,2020-05-28
YR6219,USD,New York,Furniture,43862609,27.00,USD 17.01,USD 1.08,USD 25.92,2020-05-28
YR6219,USD,New York,Electronics,62929382,13.00,USD 8.45,USD 1.30,USD 11.70,2020-05-28
YR6219,USD,New York,Education,98140563,24.00,USD 17.76,USD 2.40,USD 21.60,2020-05-28
YR6219,USD,New York,Fashion,68488464,91.00,USD 64.61,USD 9.10,USD 81.90,2020-05-28
YR6219,USD,New York,Education,86816406,30.00,USD 21.60,USD 1.20,USD 28.80,2020-05-28
YR6219,USD,New York,Education,99947814,42.00,USD 28.56,USD 1.26,USD 40.74,2020-05-28
YR6219,USD,New York,Kitchen,90977478,26.00,USD 18.46,USD 1.56,USD 24.44,2020-05-28
YR6219,USD,New York,Kitchen,79853820,63.00,USD 37.80,USD 3.15,USD 59.85,2020-05-28
YR6219,USD,New York,Education,91966247,15.00,USD 10.05,USD 0.75,USD 14.25,2020-05-28
YR6219,USD,New York,Furniture,61031494,73.00,USD 54.75,USD 1.46,USD 71.54,2020-05-28
YR6219,USD,New York,Kitchen,37097778,55.00,USD 39.05,USD 1.65,USD 53.35,2020-05-28
YR6219,USD,New York,Furniture,83693542,57.00,USD 37.62,USD 5.13,USD 51.87,2020-05-28
YR1845,USD,New York,Electronics,79307250,25.00,USD 17.75,USD 0.75,USD 24.25,2020-05-28
YR1845,USD,New York,Education,63236999,87.00,USD 62.64,USD 8.70,USD 78.30,2020-05-28
YR1845,USD,New York,Education,17492675,21.00,USD 14.70,USD 1.68,USD 19.32,2020-05-28
YR1845,USD,New York,Cosmetics,21434020,66.00,USD 45.54,USD 5.94,USD 60.06,2020-05-28
YR1845,USD,New York,Groceries,89867858,75.00,USD 54.75,USD 3.00,USD 72.00,2020-05-28
YR1845,USD,New York,Electronics,97580261,68.00,USD 40.80,USD 5.44,USD 62.56,2020-05-28
YR1845,USD,New York,Furniture,99189758,46.00,USD 32.20,USD 3.68,USD 42.32,2020-05-28
YR1845,USD,New York,Fashion,32423095,71.00,USD 46.15,USD 2.84,USD 68.16,2020-05-28
YR1845,USD,New York,Electronics,38138732,55.00,USD 40.70,USD 3.30,USD 51.70,2020-05-28
YR1845,USD,New York,Kitchen,49383239,67.00,USD 44.89,USD 2.68,USD 64.32,2020-05-28
YR1845,USD,New York,Groceries,59806518,97.00,USD 68.87,USD 5.82,USD 91.18,2020-05-28
YR1845,USD,New York,Fashion,91370239,23.00,USD 16.79,USD 2.30,USD 20.70,2020-05-28
YR1845,USD,New York,Education,62992553,55.00,USD 33.00,USD 4.40,USD 50.60,2020-05-28
YR1845,USD,New York,Kitchen,66700439,69.00,USD 42.78,USD 4.83,USD 64.17,2020-05-28
YR1845,USD,New York,Electronics,78744201,70.00,USD 46.20,USD 2.80,USD 67.20,2020-05-28
YR1845,USD,New York,Electronics,43359985,67.00,USD 40.87,USD 1.34,USD 65.66,2020-05-28
YR1845,USD,New York,Fashion,50490112,14.00,USD 8.96,USD 1.40,USD 12.60,2020-05-28
YR1845,USD,New York,Education,84866333,47.00,USD 31.49,USD 1.88,USD 45.12,2020-05-28
YR1845,USD,New York,Cosmetics,65420532,28.00,USD 21.00,USD 2.52,USD 25.48,2020-05-28
YR1845,USD,New York,Electronics,81834106,51.00,USD 34.68,USD 3.06,USD 47.94,2020-05-28
YR1845,USD,New York,Electronics,68763122,25.00,USD 16.00,USD 2.00,USD 23.00,2020-05-28
YR1845,USD,New York,Kitchen,40237121,94.00,USD 67.68,USD 6.58,USD 87.42,2020-05-28
YR1845,USD,New York,Cosmetics,50234680,44.00,USD 29.48,USD 1.76,USD 42.24,2020-05-28
YR1845,USD,New York,Groceries,56241455,48.00,USD 30.24,USD 2.40,USD 45.60,2020-05-28
YR1845,USD,New York,Electronics,10277404,26.00,USD 16.90,USD 1.04,USD 24.96,2020-05-28
YR1845,USD,New York,Groceries,60693664,64.00,USD 42.24,USD 3.84,USD 60.16,2020-05-28
YR1845,USD,New York,Furniture,62962341,79.00,USD 57.67,USD 4.74,USD 74.26,2020-05-28
YR1845,USD,New York,Groceries,54755554,43.00,USD 29.24,USD 2.58,USD 40.42,2020-05-28
YR1845,USD,New York,Fashion,57622985,77.00,USD 48.51,USD 5.39,USD 71.61,2020-05-28
YR1845,USD,New York,Cosmetics,70913696,78.00,USD 53.04,USD 5.46,USD 72.54,2020-05-28
YR1845,USD,New York,Kitchen,22422790,51.00,USD 36.72,USD 4.59,USD 46.41,2020-05-28
YR1845,USD,New York,Kitchen,26962890,48.00,USD 35.04,USD 3.84,USD 44.16,2020-05-28
YR1845,USD,New York,Fashion,93295593,12.00,USD 7.92,USD 0.84,USD 11.16,2020-05-28
YR6083,USD,New York,Electronics,29231567,86.00,USD 56.76,USD 2.58,USD 83.42,2020-05-28
YR6083,USD,New York,Groceries,78197631,20.00,USD 14.20,USD 1.20,USD 18.80,2020-05-28
YR6083,USD,New York,Electronics,97426452,43.00,USD 30.96,USD 0.86,USD 42.14,2020-05-28
YR6083,USD,New York,Furniture,30055541,97.00,USD 70.81,USD 8.73,USD 88.27,2020-05-28
YR6083,USD,New York,Fashion,73572387,46.00,USD 28.06,USD 1.38,USD 44.62,2020-05-28
YR6083,USD,New York,Cosmetics,63970336,91.00,USD 55.51,USD 4.55,USD 86.45,2020-05-28
YR6083,USD,New York,Furniture,42222900,69.00,USD 48.99,USD 4.14,USD 64.86,2020-05-28
YR6083,USD,New York,Cosmetics,79906005,62.00,USD 44.02,USD 1.24,USD 60.76,2020-05-28
YR6083,USD,New York,Kitchen,69155883,46.00,USD 27.60,USD 0.92,USD 45.08,2020-05-28
YR6083,USD,New York,Furniture,63692932,67.00,USD 40.87,USD 6.70,USD 60.30,2020-05-28
YR6083,USD,New York,Cosmetics,39588928,70.00,USD 45.50,USD 1.40,USD 68.60,2020-05-28
YR6083,USD,New York,Electronics,14781799,57.00,USD 36.48,USD 5.13,USD 51.87,2020-05-28
YR6083,USD,New York,Kitchen,78233337,65.00,USD 44.20,USD 5.20,USD 59.80,2020-05-28
YR6083,USD,New York,Furniture,75066528,92.00,USD 69.00,USD 8.28,USD 83.72,2020-05-28
YR6083,USD,New York,Education,38377685,88.00,USD 64.24,USD 3.52,USD 84.48,2020-05-28
YR6083,USD,New York,Cosmetics,37388916,54.00,USD 32.40,USD 4.86,USD 49.14,2020-05-28
YR6083,USD,New York,Furniture,27374877,17.00,USD 11.90,USD 1.70,USD 15.30,2020-05-28
YR6083,USD,New York,Electronics,27355651,21.00,USD 14.49,USD 0.63,USD 20.37,2020-05-28
YR6083,USD,New York,Fashion,65027770,45.00,USD 33.30,USD 1.35,USD 43.65,2020-05-28
YR6083,USD,New York,Cosmetics,34812622,39.00,USD 25.74,USD 1.17,USD 37.83,2020-05-28
YR6083,USD,New York,Cosmetics,67398071,82.00,USD 59.04,USD 2.46,USD 79.54,2020-05-28
YR6083,USD,New York,Cosmetics,90842895,58.00,USD 38.28,USD 5.22,USD 52.78,2020-05-28
YR6083,USD,New York,Education,58864440,20.00,USD 13.60,USD 1.60,USD 18.40,2020-05-28
YR6083,USD,New York,Furniture,52407226,18.00,USD 11.88,USD 1.80,USD 16.20,2020-05-28
YR6083,USD,New York,Electronics,58801269,66.00,USD 41.58,USD 6.60,USD 59.40,2020-05-28
YR6083,USD,New York,Education,84852600,72.00,USD 48.96,USD 5.76,USD 66.24,2020-05-28
YR6083,USD,New York,Education,24878234,51.00,USD 32.64,USD 2.04,USD 48.96,2020-05-28
YR6083,USD,New York,Furniture,48018188,28.00,USD 19.88,USD 0.56,USD 27.44,2020-05-28
YR6083,USD,New York,Fashion,12683410,18.00,USD 12.06,USD 1.44,USD 16.56,2020-05-28
YR6083,USD,New York,Education,19212036,78.00,USD 58.50,USD 3.90,USD 74.10,2020-05-28
YR6083,USD,New York,Groceries,72910461,60.00,USD 43.80,USD 5.40,USD 54.60,2020-05-28
YR6083,USD,New York,Furniture,65640258,52.00,USD 39.00,USD 2.08,USD 49.92,2020-05-28
YR6083,USD,New York,Furniture,38970947,15.00,USD 9.60,USD 0.30,USD 14.70,2020-05-28
YR6083,USD,New York,Furniture,30365905,93.00,USD 63.24,USD 1.86,USD 91.14,2020-05-28
YR6083,USD,New York,Fashion,42980957,67.00,USD 50.25,USD 2.01,USD 64.99,2020-05-28
YR6083,USD,New York,Cosmetics,90859375,54.00,USD 32.40,USD 5.40,USD 48.60,2020-05-28
YR6083,USD,New York,Kitchen,11642456,88.00,USD 57.20,USD 2.64,USD 85.36,2020-05-28
YR6083,USD,New York,Electronics,70334167,100.00,USD 67.00,USD 9.00,USD 91.00,2020-05-28
YR4165,USD,New York,Kitchen,10975036,71.00,USD 46.15,USD 4.26,USD 66.74,2020-05-28
YR4165,USD,New York,Electronics,50679626,95.00,USD 62.70,USD 1.90,USD 93.10,2020-05-28
YR4165,USD,New York,Cosmetics,90551757,83.00,USD 58.93,USD 6.64,USD 76.36,2020-05-28
YR4165,USD,New York,Kitchen,87873840,57.00,USD 35.34,USD 2.28,USD 54.72,2020-05-28
YR4165,USD,New York,Fashion,53796997,54.00,USD 34.56,USD 1.62,USD 52.38,2020-05-28
YR4165,USD,New York,Fashion,84220886,21.00,USD 12.81,USD 1.68,USD 19.32,2020-05-28
YR4165,USD,New York,Fashion,61424255,22.00,USD 14.30,USD 1.76,USD 20.24,2020-05-28
YR4165,USD,New York,Education,69389343,43.00,USD 29.67,USD 1.72,USD 41.28,2020-05-28
YR4165,USD,New York,Education,58166809,38.00,USD 26.22,USD 1.14,USD 36.86,2020-05-28
YR4165,USD,New York,Cosmetics,11914367,90.00,USD 65.70,USD 5.40,USD 84.60,2020-05-28
YR4165,USD,New York,Education,95904846,18.00,USD 11.52,USD 1.08,USD 16.92,2020-05-28
YR4165,USD,New York,Kitchen,77090759,86.00,USD 56.76,USD 7.74,USD 78.26,2020-05-28
YR4165,USD,New York,Groceries,27048034,96.00,USD 70.08,USD 2.88,USD 93.12,2020-05-28
YR4165,USD,New York,Groceries,56939086,69.00,USD 45.54,USD 2.07,USD 66.93,2020-05-28
YR4165,USD,New York,Furniture,47372741,98.00,USD 66.64,USD 2.94,USD 95.06,2020-05-28
YR4165,USD,New York,Cosmetics,33991394,18.00,USD 12.06,USD 1.62,USD 16.38,2020-05-28
YR4165,USD,New York,Fashion,62124633,82.00,USD 53.30,USD 4.92,USD 77.08,2020-05-28
YR4165,USD,New York,Groceries,19231262,41.00,USD 26.24,USD 4.10,USD 36.90,2020-05-28
YR4165,USD,New York,Fashion,64700927,97.00,USD 72.75,USD 2.91,USD 94.09,2020-05-28
YR4165,USD,New York,Cosmetics,17305908,84.00,USD 57.96,USD 4.20,USD 79.80,2020-05-28
YR4165,USD,New York,Cosmetics,56395263,11.00,USD 7.59,USD 0.99,USD 10.01,2020-05-28
YR4165,USD,New York,Fashion,36718750,34.00,USD 24.14,USD 1.02,USD 32.98,2020-05-28
YR4165,USD,New York,Education,98365783,44.00,USD 31.24,USD 3.96,USD 40.04,2020-05-28
YR4165,USD,New York,Groceries,57024230,65.00,USD 46.15,USD 2.60,USD 62.40,2020-05-28
YR4165,USD,New York,Education,49976501,15.00,USD 10.20,USD 1.20,USD 13.80,2020-05-28
YR4165,USD,New York,Cosmetics,83352966,63.00,USD 41.58,USD 5.04,USD 57.96,2020-05-28
YR4165,USD,New York,Cosmetics,70930175,64.00,USD 44.16,USD 6.40,USD 57.60,2020-05-28
YR4165,USD,New York,Electronics,68183593,74.00,USD 48.84,USD 5.92,USD 68.08,2020-05-28
YR4165,USD,New York,Education,32096252,59.00,USD 40.12,USD 2.95,USD 56.05,2020-05-28
YR4165,USD,New York,Education,73825073,76.00,USD 47.12,USD 3.80,USD 72.20,2020-05-28
YR4165,USD,New York,Furniture,12966308,41.00,USD 26.24,USD 2.46,USD 38.54,2020-05-28
YR4165,USD,New York,Fashion,23699951,86.00,USD 61.92,USD 4.30,USD 81.70,2020-05-28
YR4165,USD,New York,Education,50586242,69.00,USD 46.92,USD 5.52,USD 63.48,2020-05-28
YR4165,USD,New York,Furniture,81987915,12.00,USD 9.00,USD 0.24,USD 11.76,2020-05-28
YR4165,USD,New York,Groceries,53439941,48.00,USD 29.76,USD 1.44,USD 46.56,2020-05-28
YR4098,USD,New York,Electronics,93930053,25.00,USD 17.50,USD 2.50,USD 22.50,2020-05-28
YR4098,USD,New York,Kitchen,54447937,53.00,USD 38.69,USD 2.12,USD 50.88,2020-05-28
YR4098,USD,New York,Groceries,98431701,55.00,USD 37.95,USD 5.50,USD 49.50,2020-05-28
YR4098,USD,New York,Groceries,29519958,44.00,USD 32.56,USD 3.52,USD 40.48,2020-05-28
YR4098,USD,New York,Kitchen,86423645,59.00,USD 35.40,USD 5.31,USD 53.69,2020-05-28
YR4098,USD,New York,Cosmetics,22255249,71.00,USD 49.70,USD 7.10,USD 63.90,2020-05-28
YR4098,USD,New York,Kitchen,43189697,17.00,USD 10.37,USD 0.85,USD 16.15,2020-05-28
YR4098,USD,New York,Education,26570129,65.00,USD 46.80,USD 6.50,USD 58.50,2020-05-28
YR4098,USD,New York,Furniture,28176879,21.00,USD 13.65,USD 0.63,USD 20.37,2020-05-28
YR4098,USD,New York,Cosmetics,57469177,24.00,USD 18.00,USD 1.68,USD 22.32,2020-05-28
YR4098,USD,New York,Fashion,55590515,23.00,USD 17.25,USD 1.38,USD 21.62,2020-05-28
YR4098,USD,New York,Kitchen,29964904,83.00,USD 59.76,USD 4.98,USD 78.02,2020-05-28
YR4098,USD,New York,Cosmetics,43717041,35.00,USD 24.50,USD 3.15,USD 31.85,2020-05-28
YR4098,USD,New York,Cosmetics,83710021,53.00,USD 31.80,USD 5.30,USD 47.70,2020-05-28
YR4098,USD,New York,Furniture,13996276,39.00,USD 28.08,USD 2.34,USD 36.66,2020-05-28
YR4098,USD,New York,Education,34590148,93.00,USD 56.73,USD 5.58,USD 87.42,2020-05-28
YR4098,USD,New York,Kitchen,30102233,86.00,USD 55.04,USD 5.16,USD 80.84,2020-05-28
YR4098,USD,New York,Electronics,95858154,29.00,USD 21.46,USD 2.61,USD 26.39,2020-05-28
YR4098,USD,New York,Kitchen,27100219,91.00,USD 64.61,USD 9.10,USD 81.90,2020-05-28
YR4098,USD,New York,Kitchen,34656066,77.00,USD 52.36,USD 7.70,USD 69.30,2020-05-28
YR4098,USD,New York,Education,15169067,91.00,USD 61.88,USD 3.64,USD 87.36,2020-05-28
YR4098,USD,New York,Furniture,29948425,97.00,USD 69.84,USD 2.91,USD 94.09,2020-05-28
YR4098,USD,New York,Fashion,78472290,96.00,USD 66.24,USD 7.68,USD 88.32,2020-05-28
YR4098,USD,New York,Electronics,51292114,61.00,USD 38.43,USD 5.49,USD 55.51,2020-05-28
YR4098,USD,New York,Kitchen,44365234,97.00,USD 65.96,USD 5.82,USD 91.18,2020-05-28
YR4098,USD,New York,Education,33238830,22.00,USD 14.74,USD 0.88,USD 21.12,2020-05-28
YR4098,USD,New York,Groceries,86846618,11.00,USD 8.03,USD 0.66,USD 10.34,2020-05-28
YR4098,USD,New York,Groceries,98926086,56.00,USD 38.08,USD 1.68,USD 54.32,2020-05-28
YR4098,USD,New York,Cosmetics,44161987,55.00,USD 35.20,USD 4.40,USD 50.60,2020-05-28
YR4098,USD,New York,Groceries,39281311,52.00,USD 32.24,USD 2.60,USD 49.40,2020-05-28
YR4098,USD,New York,Education,30473022,87.00,USD 53.07,USD 3.48,USD 83.52,2020-05-28
YR4098,USD,New York,Groceries,34469299,16.00,USD 11.36,USD 0.32,USD 15.68,2020-05-28
YR4098,USD,New York,Education,54228210,80.00,USD 59.20,USD 5.60,USD 74.40,2020-05-28
YR4098,USD,New York,Cosmetics,35221862,32.00,USD 20.48,USD 2.24,USD 29.76,2020-05-28
YR4098,USD,New York,Kitchen,18209533,48.00,USD 36.00,USD 2.88,USD 45.12,2020-05-28
YR4098,USD,New York,Electronics,83284301,65.00,USD 44.20,USD 3.25,USD 61.75,2020-05-28
YR4098,USD,New York,Groceries,74053039,87.00,USD 64.38,USD 6.09,USD 80.91,2020-05-28
YR4098,USD,New York,Furniture,93150024,70.00,USD 51.10,USD 2.10,USD 67.90,2020-05-28
YR4098,USD,New York,Cosmetics,18995056,52.00,USD 38.48,USD 5.20,USD 46.80,2020-05-28
YR4098,USD,New York,Education,30184631,66.00,USD 42.90,USD 1.32,USD 64.68,2020-05-28
YR4098,USD,New York,Education,22606811,77.00,USD 50.82,USD 6.93,USD 70.07,2020-05-28
YR4098,USD,New York,Kitchen,91353759,61.00,USD 39.65,USD 1.22,USD 59.78,2020-05-28
YR4098,USD,New York,Cosmetics,27987365,51.00,USD 37.23,USD 2.04,USD 48.96,2020-05-28
YR4098,USD,New York,Fashion,28481750,73.00,USD 53.29,USD 5.84,USD 67.16,2020-05-28
YR4098,USD,New York,Electronics,61682434,80.00,USD 48.80,USD 3.20,USD 76.80,2020-05-28
YR4098,USD,New York,Groceries,14540100,24.00,USD 17.76,USD 0.96,USD 23.04,2020-05-28
YR4098,USD,New York,Electronics,74956665,90.00,USD 57.60,USD 3.60,USD 86.40,2020-05-28
YR4098,USD,New York,Kitchen,29981384,92.00,USD 66.24,USD 3.68,USD 88.32,2020-05-28
YR4226,USD,New York,Furniture,65524902,30.00,USD 18.90,USD 1.20,USD 28.80,2020-05-28
YR4226,USD,New York,Kitchen,49399719,63.00,USD 37.80,USD 3.15,USD 59.85,2020-05-28
YR4226,USD,New York,Kitchen,56513366,68.00,USD 46.92,USD 4.76,USD 63.24,2020-05-28
YR4226,USD,New York,Education,28767395,12.00,USD 8.28,USD 0.72,USD 11.28,2020-05-28
YR4226,USD,New York,Education,21703186,94.00,USD 59.22,USD 4.70,USD 89.30,2020-05-28
YR4226,USD,New York,Education,61325378,93.00,USD 64.17,USD 5.58,USD 87.42,2020-05-28
YR4226,USD,New York,Education,56274414,59.00,USD 38.94,USD 1.77,USD 57.23,2020-05-28
YR4226,USD,New York,Kitchen,87275085,11.00,USD 7.48,USD 0.22,USD 10.78,2020-05-28
YR4226,USD,New York,Groceries,79988403,31.00,USD 20.15,USD 0.93,USD 30.07,2020-05-28
YR4226,USD,New York,Education,71424560,19.00,USD 12.73,USD 1.52,USD 17.48,2020-05-28
YR4226,USD,New York,Kitchen,99697875,12.00,USD 8.88,USD 0.84,USD 11.16,2020-05-28
